Provinsi ,Tahun,Tingkat Kemiskinan,Tingkat Pengangguran,Rasio Gini,Index Pertumbuhan Manusia,Laju Pertumbuhan Ekonomi
Jambi,2020,7.97,5.13,0.32,71.29,-0.44
Sumatera Selatan,2020,12.98,5.51,0.34,70.01,-0.11
Bengkulu,2020,15.30,4.07,0.32,71.40,-0.02
Lampung,2020,12.76,4.67,0.32,69.69,-1.67
Bangka-Belitung,2020,4.89,NaN,NaN,NaN,NaN
Kepulauan Riau,2020,6.13,10.34,0.33,75.59,-3.80
DKI Jakarta,2020,4.69,10.95,0.40,80.77,-2.39
Jawa Barat,2020,8.43,10.46,0.40,72.09,-2.52
Jawa Tengah,2020,11.84,6.48,0.36,71.87,-2.65
Yogyakarta,2020,12.80,4.57,0.44,79.97,-2.68
Jawa Timur,2020,11.46,5.84,0.36,71.71,-2.33
Banten,2020,6.63,10.64,0.37,72.45,-3.39
Bali,2020,4.45,5.63,0.37,75.50,-9.33
Nusa Tenggara Barat,2020,14.23,4.22,0.39,68.25,-0.62
Nusa Tenggara Timur,2020,21.21,4.28,0.36,65.19,-0.84
Kalimantan Barat,2020,7.24,5.81,0.33,67.66,-1.82
Kalimantan Tengah,2020,5.26,4.58,0.32,71.05,-1.41
Kalimantan Selatan,2020,4.83,4.74,0.35,70.91,-1.82
Kalimantan Timur,2020,6.64,6.87,0.34,76.24,-2.87
Kalimantan Utara,2020,7.41,4.97,0.30,70.63,-1.09
Sulawesi Utara,2020,7.78,7.37,0.37,72.93,-0.99
Sulawesi Tengah,2020,13.06,3.77,0.32,69.55,4.86
Sulawesi Selatan,2020,8.99,6.31,0.38,71.93,-0.71
Sulawesi Tenggara,2020,11.69,4.58,0.39,71.45,-0.65
Gorontalo,2020,15.59,4.28,0.41,68.68,-0.02
Sulawesi Barat,2020,11.50,3.32,0.36,66.11,-2.40
Maluku,2020,17.99,7.57,0.33,69.49,-0.92
Maluku Utara,2020,6.97,5.15,0.29,68.49,5.35
Papua Barat,2020,21.70,6.80,0.38,65.09,-0.76
Papua,2020,26.80,4.28,0.40,60.44,2.39
Aceh,2021,15.53,6.30,0.32,72.18,2.79
Sumatera Utara,2021,8.49,6.33,0.31,72.00,2.61
Sumatera Barat,2021,6.04,6.52,0.30,72.65,3.29
Riau,2021,7.00,4.42,0.33,72.94,3.36
Jambi,2021,7.67,5.09,0.32,71.63,3.66
Sumatera Selatan,2021,12.79,4.98,0.34,70.24,3.58
Bengkulu,2021,14.43,3.65,0.32,71.64,3.24
Lampung,2021,11.67,4.69,0.31,69.90,2.79
Bangka-Belitung,2021,4.67,NaN,NaN,NaN,NaN
Kepulauan Riau,2021,5.75,9.91,0.34,75.79,3.43
DKI Jakarta,2021,4.67,8.50,0.41,81.11,3.56
Jawa Barat,2021,7.97,9.82,0.41,72.45,3.74
Jawa Tengah,2021,11.25,5.95,0.37,72.16,3.32
Yogyakarta,2021,11.91,4.56,0.44,80.22,5.53
Jawa Timur,2021,10.59,5.74,0.36,72.14,3.57
Banten,2021,6.50,8.98,0.36,72.72,4.44
Bali,2021,4.72,5.37,0.38,75.69,-2.47
Nusa Tenggara Barat,2021,13.83,3.01,0.38,68.65,2.30
Nusa Tenggara Timur,2021,20.44,3.77,0.34,65.28,2.51
Kalimantan Barat,2021,6.84,5.82,0.32,67.90,4.78
Kalimantan Tengah,2021,5.16,4.53,0.32,71.25,3.40
Kalimantan Selatan,2021,4.56,4.95,0.33,71.28,3.48
Kalimantan Timur,2021,6.27,6.83,0.33,76.88,2.48
Kalimantan Utara,2021,6.83,4.58,0.29,71.19,3.98
Sulawesi Utara,2021,7.36,7.06,0.36,73.30,4.16
Sulawesi Tengah,2021,12.18,3.75,0.33,69.79,11.70
Sulawesi Selatan,2021,8.53,5.72,0.38,72.24,4.65
Sulawesi Tenggara,2021,11.74,3.92,0.39,71.66,4.10
Gorontalo,2021,15.41,3.01,0.41,69.00,2.41
Sulawesi Barat,2021,11.85,3.13,0.37,66.36,2.56
Maluku,2021,16.30,6.93,0.32,69.71,3.04
Maluku Utara,2021,6.38,4.71,0.28,68.76,16.40
Papua Barat,2021,21.82,5.84,0.37,65.26,-0.51
Papua,2021,27.38,3.33,0.40,60.62,15.11
